driver,target,n,pearson_r,spearman_r
var_kognition,tn_belastung_std,282,0.06323498170092472,0.05952574811281957
var_affektiv,emotion_valenz_std,271,0.061947466404285674,0.00793270329420294
dominanz_breite,emotion_valenz_std,271,-0.06023692932537789,-0.01009229114146146
d_semantisch_std,tn_belastung_mean,282,0.05874845535210721,0.08518318716230969
d_semantisch_std,emotion_ambivalenz,282,-0.05622662817950049,-0.06395131174680316
var_affektiv,tn_belastung_std,282,0.05473753284260212,0.06668892305611818
dominanz_breite,teilnehmer_drift,255,-0.0494832659300547,-0.05024186488907531
var_affektiv,teilnehmer_drift,255,0.046613917869312516,0.022697231204532396
var_sozial,emotion_valenz_std,271,0.0423701300578665,0.0550556695154925
var_affektiv,emotion_ambivalenz,282,0.03766695389713879,0.05200199333359043
dominanz_breite,tn_belastung_std,282,0.036832461064387284,0.08262140272684021
var_regulation,teilnehmer_drift,255,-0.03609170021186087,-0.05967911261583266
d_semantisch_std,teilnehmer_drift,255,-0.03433562772376098,0.0008102466474958173
var_motivation,teilnehmer_drift,255,0.03390794241440113,0.0509056974303168
dominanz_breite,tn_belastung_mean,282,0.031860081174013885,0.048868731337128136
var_motivation,tn_belastung_std,282,0.030280555861045867,0.08088619225172279
semantische_breite,tn_belastung_std,282,0.029229179300786525,0.056891645049327526
lehrkraft_varianz_mean,tn_belastung_std,282,0.028181916795778368,0.056891645049327526
var_affektiv,tn_belastung_mean,282,-0.0194318555612139,-0.054609099199349725
d_semantisch_std,tn_belastung_std,282,-0.015489103199701638,0.02735037736593926
var_regulation,tn_belastung_std,282,0.015132156928902664,-0.05955574196632822
var_methodik,teilnehmer_drift,255,-0.014226790983495741,0.05647181837470568
lehrkraft_varianz_max,tn_belastung_std,282,0.010841759013415773,0.052682061269840805
var_performanz,teilnehmer_drift,255,0.00841205398977939,-0.13815511420192989
lehrkraft_varianz_max,teilnehmer_drift,255,0.0075516530193164635,0.017588674094611307
var_sozial,tn_belastung_std,282,0.005938414986031149,0.07332720556301536
semantische_breite,teilnehmer_drift,255,-0.004985365540544582,-0.019990974796397474
var_performanz,tn_belastung_std,282,-0.004061650141602643,-0.0664961054264197
var_sozial,emotion_ambivalenz,282,-0.0029564135751162057,0.056426230920991506
var_sozial,tn_belastung_mean,282,0.0020686466192214362,0.035113216025379854
lehrkraft_varianz_mean,teilnehmer_drift,255,-0.0019327273411016094,-0.019990974796397474
var_kognition,teilnehmer_drift,255,0.0019216791995790793,-0.009020673552122558
